image,label
images/5605.jpg,carya_tomentosa
images/15281.jpg,taxodium_distichum
images/4284.jpg,chionanthus_virginicus
images/2596.jpg,quercus_robur
images/6541.jpg,quercus_stellata
images/13796.jpg,acer_pensylvanicum
images/14657.jpg,cladrastis_lutea
images/17976.jpg,staphylea_trifolia
images/7616.jpg,quercus_alba
images/9794.jpg,carya_cordiformis
images/3231.jpg,broussonettia_papyrifera
images/6333.jpg,ulmus_glabra
images/10899.jpg,broussonettia_papyrifera
images/10064.jpg,pinus_wallichiana
images/7684.jpg,ficus_carica
images/18258.jpg,betula_lenta
images/4976.jpg,pinus_cembra
images/12984.jpg,acer_saccharum
images/4981.jpg,amelanchier_canadensis
images/838.jpg,pinus_densiflora
images/14174.jpg,eucommia_ulmoides
images/16129.jpg,cornus_florida
images/7904.jpg,tsuga_canadensis
images/7082.jpg,malus_baccata
images/4556.jpg,cladrastis_lutea
images/3041.jpg,ilex_opaca
images/6181.jpg,ilex_opaca
images/6907.jpg,ulmus_pumila
images/15205.jpg,eucommia_ulmoides
images/10384.jpg,prunus_sargentii
images/15985.jpg,acer_saccharum
images/5678.jpg,quercus_stellata
images/8275.jpg,tsuga_canadensis
images/4069.jpg,salix_caroliniana
images/2985.jpg,malus_pumila
images/11400.jpg,liquidambar_styraciflua
images/14527.jpg,populus_tremuloides
images/14115.jpg,broussonettia_papyrifera
images/13951.jpg,eucommia_ulmoides
images/10148.jpg,quercus_stellata
images/17973.jpg,stewartia_pseudocamellia
images/4646.jpg,betula_lenta
images/16152.jpg,quercus_acutissima
images/16382.jpg,cladrastis_lutea
images/4927.jpg,prunus_serotina
images/4843.jpg,gleditsia_triacanthos
images/73.jpg,asimina_triloba
images/9305.jpg,salix_nigra
images/6735.jpg,ulmus_rubra
images/1411.jpg,abies_nordmanniana
images/608.jpg,catalpa_bignonioides
images/10057.jpg,quercus_robur
images/2130.jpg,liriodendron_tulipifera
images/14137.jpg,pyrus_calleryana
images/5485.jpg,ginkgo_biloba
images/11413.jpg,chamaecyparis_thyoides
images/14199.jpg,taxodium_distichum
images/137.jpg,cercis_canadensis
images/11276.jpg,styrax_japonica
images/1491.jpg,acer_saccharinum
images/13609.jpg,acer_saccharum
images/8984.jpg,salix_babylonica
images/4766.jpg,prunus_virginiana
images/12941.jpg,picea_pungens
images/18295.jpg,prunus_serotina
images/15857.jpg,betula_alleghaniensis
images/5719.jpg,crataegus_pruinosa
images/17215.jpg,prunus_virginiana
images/5887.jpg,eucommia_ulmoides
images/18227.jpg,pinus_bungeana
images/5657.jpg,ficus_carica
images/895.jpg,carya_cordiformis
images/11627.jpg,carya_glabra
images/15981.jpg,populus_deltoides
images/13077.jpg,pinus_cembra
images/9409.jpg,acer_rubrum
images/11967.jpg,ptelea_trifoliata
images/14133.jpg,crataegus_crus-galli
images/1400.jpg,magnolia_stellata
images/17665.jpg,acer_ginnala
images/16566.jpg,quercus_montana
images/7357.jpg,carpinus_betulus
images/17549.jpg,tilia_tomentosa
images/1806.jpg,carya_ovata
images/9498.jpg,quercus_stellata
images/13865.jpg,cercis_canadensis
images/7080.jpg,cedrus_atlantica
images/118.jpg,staphylea_trifolia
images/10826.jpg,morus_rubra
images/4371.jpg,quercus_palustris
images/14067.jpg,ginkgo_biloba
images/5696.jpg,aesculus_hippocastamon
images/12800.jpg,acer_ginnala
images/17869.jpg,liquidambar_styraciflua
images/1483.jpg,acer_palmatum
images/13472.jpg,pinus_parviflora
images/6152.jpg,carya_tomentosa
images/4291.jpg,pinus_pungens
images/14518.jpg,betula_lenta
images/7715.jpg,acer_negundo
images/13669.jpg,pinus_strobus
images/10198.jpg,celtis_tenuifolia
images/4070.jpg,prunus_virginiana
images/508.jpg,populus_tremuloides
images/5668.jpg,pinus_flexilis
images/10784.jpg,liquidambar_styraciflua
images/2897.jpg,taxodium_distichum
images/3701.jpg,malus_pumila
images/2709.jpg,abies_concolor
images/17309.jpg,magnolia_stellata
images/7047.jpg,quercus_velutina
images/1777.jpg,magnolia_virginiana
images/1621.jpg,eucommia_ulmoides
images/12877.jpg,catalpa_bignonioides
images/5777.jpg,ulmus_glabra
images/11582.jpg,quercus_coccinea
images/795.jpg,catalpa_bignonioides
images/14313.jpg,ulmus_procera
images/9738.jpg,pinus_strobus
images/13643.jpg,pinus_nigra
images/5622.jpg,ulmus_parvifolia
images/14426.jpg,liriodendron_tulipifera
images/10066.jpg,amelanchier_laevis
images/3947.jpg,carya_cordiformis
images/10381.jpg,cornus_florida
images/5310.jpg,platanus_acerifolia
images/11781.jpg,quercus_imbricaria
images/1419.jpg,koelreuteria_paniculata
images/3449.jpg,abies_nordmanniana
images/14877.jpg,juglans_cinerea
images/18002.jpg,quercus_nigra
images/1096.jpg,quercus_velutina
images/4510.jpg,magnolia_tripetala
images/15841.jpg,celtis_tenuifolia
images/4244.jpg,quercus_phellos
images/15331.jpg,quercus_nigra
images/12167.jpg,fraxinus_pennsylvanica
images/2592.jpg,prunus_sargentii
images/10096.jpg,magnolia_stellata
images/10753.jpg,cornus_florida
images/12104.jpg,cladrastis_lutea
images/15979.jpg,quercus_cerris
images/10633.jpg,aesculus_pavi
images/4479.jpg,evodia_daniellii
images/8324.jpg,betula_alleghaniensis
images/3288.jpg,cercis_canadensis
images/9187.jpg,aesculus_flava
images/3098.jpg,populus_grandidentata
images/14831.jpg,carya_ovata
images/17892.jpg,quercus_montana
images/9946.jpg,pinus_sylvestris
images/12294.jpg,larix_decidua
images/11015.jpg,broussonettia_papyrifera
images/15513.jpg,maclura_pomifera
images/180.jpg,ulmus_rubra
images/13866.jpg,ptelea_trifoliata
images/1748.jpg,cornus_mas
images/17835.jpg,acer_rubrum
images/10255.jpg,quercus_acutissima
images/4694.jpg,carya_glabra
images/7976.jpg,quercus_velutina
images/7754.jpg,populus_tremuloides
images/16679.jpg,abies_concolor
images/17085.jpg,magnolia_tripetala
images/6200.jpg,castanea_dentata
images/12007.jpg,morus_rubra
images/4270.jpg,salix_nigra
images/11897.jpg,koelreuteria_paniculata
images/10647.jpg,magnolia_acuminata
images/12780.jpg,liquidambar_styraciflua
images/1069.jpg,acer_rubrum
images/15612.jpg,catalpa_bignonioides
images/9857.jpg,robinia_pseudo-acacia
images/4755.jpg,quercus_montana
images/550.jpg,acer_negundo
images/9124.jpg,carpinus_betulus
images/850.jpg,ostrya_virginiana
images/10251.jpg,pinus_rigida
images/11736.jpg,quercus_marilandica
images/10254.jpg,tilia_tomentosa
images/5327.jpg,prunus_sargentii
images/6716.jpg,salix_matsudana
images/2910.jpg,magnolia_acuminata
images/16671.jpg,quercus_palustris
images/5928.jpg,staphylea_trifolia
images/6267.jpg,prunus_serotina
images/4459.jpg,celtis_occidentalis
images/10353.jpg,castanea_dentata
images/13011.jpg,quercus_cerris
images/15898.jpg,tilia_tomentosa
images/12084.jpg,pinus_strobus
images/16909.jpg,maclura_pomifera
images/4484.jpg,quercus_cerris
images/8110.jpg,quercus_coccinea
images/11069.jpg,eucommia_ulmoides
images/3068.jpg,pinus_wallichiana
images/2118.jpg,quercus_stellata
images/12730.jpg,betula_lenta
images/9769.jpg,crataegus_phaenopyrum
images/136.jpg,maclura_pomifera
images/16962.jpg,juniperus_virginiana
images/272.jpg,quercus_montana
images/11826.jpg,pinus_sylvestris
images/1933.jpg,quercus_michauxii
images/14351.jpg,chionanthus_retusus
images/2418.jpg,quercus_montana
images/10841.jpg,aesculus_hippocastamon
